delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
17844,  140.00 ,PVC SOFT CRYSTAL COMPOUND 25039,3500,25,Bag
17845,  16.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,400,25,Bag
37016,2831,RUBBER  BASE SLIPPER SOLE COMPOUND,70775,25,Bag
37017,264,RUBBER  BASE SLIPPER OUTER COMPOUND,6600,25,Bag
37018,  171.00 ,RUBBER  SOLE COMPOUND 192,4275,25,Bag
37121,  80.00 ,EVA,2000,25,Bag
37122,1828,RUBBER  BASE SLIPPER SOLE COMPOUND,45700,25,Bag
37123,917,RUBBER  BASE SLIPPER OUTER COMPOUND,22925,25,Bag
37120,  200.00 ,PVC OFFGRADE COMPOUND GRADE ,5000,25,Bag
17806,  16.00 , PVC CABLE GRANUEL COMPOUND  5015CC ,400,25,Bag
36892,295,EVA,7375,25,Bag
17807,  6.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,150,25,Bag
36893,900,RUBBER  BASE SLIPPER SOLE COMPOUND,22500,25,Bag
36895,790,RUBBER  BASE SLIPPER SOLE COMPOUND,19750,25,Bag
36894,4562,RUBBER  BASE SLIPPER OUTER COMPOUND,114050,25,Bag
17846,  200.00 , PVC CABLE GRANUEL COMPOUND  5015CC ,5000,25,Bag
17848,  120.00 ,PVC CABLE GRANULE  COMPOUND 5028,3000,25,Bag
37019,340,EVA,8500,25,Bag
37023,340, EVA ,8500,25,Bag
17847,140,PVC SOFT CRYSTAL COMPOUND 25040,3500,25,Bag
17849,  115.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,2875,25,Bag
37020,3426,RUBBER  BASE SLIPPER SOLE COMPOUND,85650,25,Bag
37021,286,RUBBER  BASE SLIPPER OUTER COMPOUND,7150,25,Bag
36896,200,EVA,5000,25,Bag
17811,  51.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,1275,25,Bag
36899,2829,RUBBER  BASE SLIPPER OUTER COMPOUND,70725,25,Bag
37022,356,EVA,8900,25,Bag
17850,145,PVC SOFT CRYSTAL COMPOUND 25041,3625,25,Bag
37024,3116,RUBBER  BASE SLIPPER SOLE COMPOUND,77900,25,Bag
37025,447,RUBBER  BASE SLIPPER OUTER COMPOUND,11175,25,Bag
37026,  173.00 ,RUBBER  SOLE COMPOUND 193,4325,25,Bag
37124,  200.00 ,EVA,5000,25,Bag
37126,  1352.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,33800,25,Bag
37129,  56.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,1400,25,Bag
37127,904,RUBBER  BASE SLIPPER OUTER COMPOUND,22600,25,Bag
37128,  136.00 ,RUBBER COMPOUND 1055,3400,25,Bag
37125,  205.00 ,PVC OFFGRADE COMPOUND GRADE ,5125,25,Bag
17813,  80.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,2000,25,Bag
37027,310, EVA ,7750,25,Bag
37030,261, EVA ,6525,25,Bag
17851,75,PVC SOFT CRYSTAL COMPOUND 25042,1875,25,Bag
37028,1848,RUBBER  BASE SLIPPER SOLE COMPOUND,46200,25,Bag
37029,732,RUBBER  BASE SLIPPER OUTER COMPOUND,18300,25,Bag
17852,  80.00 ,PVC CABLE GRANUEL COMPOUND  5017,2000,25,Bag
37130,  190.00 ,EVA,4750,25,Bag
37131,  848.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,21200,25,Bag
37132,  68.00 ,RUBBER COMPOUND 1055,1700,25,Bag
17814,  200.00 , PVC SOLE GRANUEL HARD COMPOUND 5036 HS ,5000,25,Bag
36903,340,EVA,8500,25,Bag
36904,284,RUBBER  BASE SLIPPER SOLE COMPOUND,7100,25,Bag
36906,4473,RUBBER  BASE SLIPPER SOLE COMPOUND,111825,25,Bag
36908,  890.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,22250,25,Bag
36905,388,EVA SHEET COMPOUND 96,9700,25,Bag
36907,395,EVA SHEET COMPOUND 97,9875,25,Bag
36912,  12500.00 ,WAST PACKAGING MATERIAL ,312500,25,Bag
17815,  200.00 , PVC SOLE GRANUEL HARD COMPOUND 5036 HS ,5000,25,Bag
36909,  20.00 ,MASTER BATCH 4322,500,25,Bag
36910,340,EVA,8500,25,Bag
36913,4819,RUBBER  BASE SLIPPER SOLE COMPOUND,120475,25,Bag
36911,  200.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,5000,25,Bag
36915,  183.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,4575,25,Bag
36914,704,EVA SHEET COMPOUND 98,17600,25,Bag
17853,  200.00 ,PVC HARD SOLE  COMPOUND GRANUEL,5000,25,Bag
17854,  121.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,3025,25,Bag
37031,3514,RUBBER  BASE SLIPPER SOLE COMPOUND,87850,25,Bag
37032,266,RUBBER  BASE SLIPPER OUTER COMPOUND,6650,25,Bag
