delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
17896,113,PVC SOFT 5040,2825,25,BAG
17870,170,PVC SOFT 5040,4250,25,BAG
17825,19,PVC SOFT 5040,475,25,BAG
17877,96,PVC SOFT 5040,2400,25,BAG
17891,90,PVC SOFT 5040,,250,BAG
17845,16,PVC SOLE 25036,,25,BAG
17807,6,PVC SOLE 25036,,25,BAG
17841,150,PVC SOLE 25036,,750,BAG
17887,88,PVC SOLE 25036,2,200,BAG
17802,29,PVC SOLE 25036,725,25,BAG
17839,114,PVC SOLE 25036,2,850,BAG
17849,115,PVC SOLE 25036,2875,25,BAG
17811,51,PVC SOLE 25036,1275,25,BAG
17813,80,PVC SOLE 25036,2000,25,BAG
17814,200,PVC SOLE 25036,5000,25,BAG
17815,200,PVC SOLE 25036,5000,25,BAG
17853,200,PVC SOLE 25036,5000,25,BAG
17854,121,PVC SOLE 25036,3025,25,BAG
17856,200,PVC SOLE 25036,5000,25,BAG
17859,155,PVC SOLE 25036,3875,25,BAG
17816,200,PVC SOLE 25036,5000,25,BAG
17861,150,PVC SOLE 25036,3750,25,BAG
17819,1,PVC SOLE 25036,25,25,BAG
17817,200,PVC SOLE 25036,5000,25,BAG
17818,200,PVC SOLE 25036,5000,25,BAG
17863,95,PVC SOLE 25036,2375,25,BAG
17822,34,PVC SOLE 25036,850,25,BAG
17897,48,PVC SOLE 25036,1200,25,BAG
17874,16,PVC SOLE 25036,400,25,BAG
17824,130,PVC SOLE 25036,3250,25,BAG
17875,179,PVC SOLE 25036,4475,25,BAG
17880,205,PVC SOLE 25036,5125,25,BAG
17881,126,PVC SOLE 25036,3150,25,BAG
17882,38,PVC SOLE 25036,950,25,BAG
17844,140,PVC SOLE 25036,,500,BAG
37070,"2,742.00",RUBBER  BASE 7707 SHEET COMPOUND,68550,25,BAG
37073,"1,258.00",RUBBER  BASE 7707 SHEET COMPOUND,31450,25,BAG
37069,67,RUBBER  BASE EVA SHEET COMPOUND,1675,25,BAG
37072,"2,000.00",RUBBER  BASE SLIPPER LAYER SHEET COMPOUND,50000,25,BAG
37077,224,RUBBER  BASE SLIPPER LAYER SHEET COMPOUND,5600,25,BAG
36985,626,RUBBER  BASE SLIPPER OUTER COMPOUND,15,650,BAG
36989,1087,RUBBER  BASE SLIPPER OUTER COMPOUND,27,175,BAG
37101,736,RUBBER  BASE SLIPPER OUTER COMPOUND,18,400,BAG
