serial_no,unit_price,description,order_quantity,total_price
20870,299.746,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS003 12PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 144PAIRS, A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48PAIRS",204,61148.18
20882,1652.17,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS005,6,9913.02
20880,1110.36,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS005 92PAIR,A GRADE PAIR HIGHLANDER LEATHER SHOES PVC SOLE 401 48PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 403 135PAIRS",275,305349
20848,1782.61,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS007,201,358304.61
20968,1730.66,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS007 1540 PAIRS,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS003 312 PAIRS AND A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SB001 1906 PAIRS",3758,6503820.28
20881,1638.86,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS007 77 PAIR, A GRADE PAIR HIGHLANDER CANVAS SHOE  MUS 010 8 PAIR",85,139303.1
20898,1304.35,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS009,18,23478.3
20905,1304.35,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS009,12,15652.2
20903,1644.35,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021,103,169368.05
20902,1644.35,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021,374,614986.9
20899,1644.35,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021,59,97016.65
20900,1644.35,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021,338,555790.3
20901,1644.35,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021,393,646229.55
20948,1956.52,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS025,43,84130.36
20978,1956.52,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS025,12,23478.24
20894,269.13,A GRADE PAIR HIGHLANDER SPIKE,720,193773.6
